,tweet,coordinates,location,language
151,"RT @TatAtfender: After 333 years Ukrainian Orthodox Church regains its independence
#Tomos #Ukraine #historyinthemaking https://t.co/1JZZ3u…",,Интернет,uk
152,RT @GlasnostGone: OOPS. The not so dynamic duo of Patrick Lancaster &amp; his friend Daniil Bezsonov strike again. Russia's 2 resident clowns i…,,Україна,uk
153,I liked a @YouTube video https://t.co/kBJVYCkhKa Ukraine's Explosive YouTube Stars: kreosan | The New York Times,,Barcelona,en
154,"RT @Tiger_Andante: Текст-ориґінал (на пергаменті) Томосу про надання автокефалії Православній Церкві України.
Каліграфія: ієромонах Лука (H…",,Интернет,uk
155,RT @Biz_Ukraine_Mag: Historic scenes in Istanbul as the leader of the Orthodox Church of Ukraine Metropolitan Epifaniy prepares to receive…,,Україна,uk
156,"RT @MertMehmet15: Вітаемо Пане Президенте Вітаемо України це Велика Перемога 

#TOMOS #Ukraine #Poroşenko 🇺🇦👇 https://t.co/RbTTOHM93u",,Интернет,uk
157,RT @alfonslopeztena: Ukraine Orthodox Church has been granted independence from Russian Church. Ecumenical Patriarch Bartholomew - the head…,,"LasGidi,Nigeria.",en
158,"RT @Ukropo4kA: New year 🎄 fairytale not far from #Kyiv #Ukraine 
1/2 https://t.co/ATSJcAGxal",,European Union: Frankfurt/Main,de
159,"RT @GorskyDmitry: @gpovanman @ukgeol Ukraine. The Ukrainian Insurgent Army, the OUN, the UPA 70 years, the Heroes of the liberation movemen…",,Australia,en
160,"RT @PuestoLoco: Still trying to partner with him, Putin sent Trump a “gift” in the form of a personal letter in a black box at the end of 2…",,cyberspace,en
161,RT @bodhibrian: Tell the truth and become an enemy of the (Ukraine) state ! Austrian Journalist Wehrschutz  @NinaByzantina @emmadefano1 @el…,,"London, England",en
162,"RT @GbengaGOLD: Dr. Sunday Adelaja, founder and senior pastor of the Embassy of the Blessed Kingdom of God for All Nations in Kiev, Ukraine…",,Tundun's Mind ,en
163,RT @avmtotra: https://t.co/lt20ismbV9 Польша предложила назначить спецпосланника Генсека ООН по Украине https://t.co/T6ooKrU8Jm,,Дигора,ru
164,"RT @WaschukCanUA: Canada’s @PaulMGrod, President of @UWCongress, joins Metropolitan @Epifaniy in Istanbul for granting of Tomos on church i…",,Ukraine,ru
165,@AFP Icon Yulia - Next President of Ukraine BY Antonio Matragrano  - Антонио Матраграно--  1.000.000 €… https://t.co/f1K5MEqirV,,"Cosenza, Calabria -Italia",it
166,"Genuinely fascinating move by Ukraine to cripple Putin’s use of their church as a hybrid weapon:

THREAD",,European Union,en
167,RT @EuromaidanPR: BBC News - Ukraine Orthodox Church granted independence from Russian Church https://t.co/CL707y88F8 |EMPR,,The World,en
168,"RT @JuliaDavisNews: Ecumenical Patriarch signs decree granting #Ukraine church independence: “Huge win for Ukraine, defeat for the Kremlin.…",,Україна,uk
169,"За даними поліції, тільки з початку цього року правоохоронці вже встигли скласти 164 адмінпротоколи відповідно до я… https://t.co/rWSKI7SICD",,Украина,uk
170,RT @masanorinaito: ウクライナ正教会はロシア正教の傘下から離脱して独立教会となった。今日、イスタンブールの全地の総主教バルトロメオス一世のもとでセレモニー。ロシアは非難。 https://t.co/pUdlyEFhpv,,Indonesia,en
171,"RT @rubicon524: @socalesquire @Jk67Joan Treason of the highest order!
Inviting Russia to hack our election
Change GOP platform on Ukraine
H…",,"Virginia, USA",en
172,Зеленский объявил о выдвижении своей кандидатуры на выборах президента Украины https://t.co/941ZN4R7y1,,Смоленск,ru
173,"Состоялось подписание Томоса Вселенским патриархом

Источник: https://t.co/dhO519J2XY https://t.co/dhO519J2XY",,Киев,ru
174,RT @muyiwag: Speaking undiluted truth! I like that line: ‘Am I foolish to that extent?’ https://t.co/wR1Hv47QmZ,,Somewhere in the World,en
175,5th Station of Big Fountain https://t.co/hT3pbfV4D4,,"Bradford, West Yorkshire. UK",en
176,RT @Biz_Ukraine_Mag: Ukraine makes history: live video from Istanbul as Ukraine receives a Tomos creating a Ukrainian Orthodox Church indep…,,Україна,uk
177,RT @CurrentTimeTv: О чем говорится в томосе для новой украинской церкви и чем он отличается от документов для других церквей? Подробно изуч…,,"Москва, Россия",ru
178,@by_Ukraine Icon Yulia - Next President of Ukraine BY Antonio Matragrano  - Антонио Матраграно--  1.000.000 €… https://t.co/K4Bzv6ONNb,,"Cosenza, Calabria -Italia",it
179,Hieromonk Lucas athonite gave the Patriarch the calligraphed parchment with the Tomos for Ukraine https://t.co/SoinLcLoMk,,Украина,en
180,"RT @YorukIsik: Bartholomew has signed a decree granting autocephaly to the Orthodox Church in Ukraine, ending more than 330 years of Russia…",,Україна,uk
